run,phase,authoritative_file,bytes,sha256,zip_integrity,verdict,report_member
RUN12,release-drift frozen holdout batch 4,GWBHPIA_STRATIFIED_HOLDOUT_BATCH_4_v0.12.0_RUN12_RESULTS_FOR_REVIEW.zip,101413,d9402359a69dd50e68c5123142a1e6ec74d1458ced5b5cd975826426d794c27f,PASS,PASS_HOLDOUT_BATCH_4_COMPLETE,GWBHPIA_STRATIFIED_HOLDOUT_BATCH_4_v0.12.0_STARTER_PACKAGE/outputs/RUN12_REPORT.json
RUN13,release-drift confirmatory analysis,GWBHPIA_FROZEN_HOLDOUT_CONFIRMATORY_ANALYSIS_v0.13.0_RUN13_RESULTS_FOR_REVIEW.zip,98538,eea12038c3d368f19ffc706160b76cf8b900423b9d33a8c6a73072f6de33981a,PASS,SUPPORTED_IN_FROZEN_HOLDOUT,GWBHPIA_FROZEN_HOLDOUT_CONFIRMATORY_ANALYSIS_v0.13.0_STARTER_PACKAGE/outputs/RUN13_CONFIRMATORY_REPORT.json
RUN14,fixed-release model-dependence pilot,GWBHPIA_FIXED_RELEASE_WAVEFORM_MODEL_DEPENDENCE_PILOT_v0.14.0_RUN14_RESULTS_FOR_REVIEW(1).zip,28489,9bbd101008d754259529f8dec7f2431030dea290bb7ff9eb72fb4ca2788de174,PASS,PASS_MODEL_DEPENDENCE_PILOT_COMPLETE,GWBHPIA_FIXED_RELEASE_WAVEFORM_MODEL_DEPENDENCE_PILOT_v0.14.0_STARTER_PACKAGE/outputs/RUN14_REPORT.json
RUN15,prior/posterior concordance,GWBHPIA_FIXED_RELEASE_PRIOR_POSTERIOR_CONCORDANCE_AUDIT_v0.15.0_RUN15_RESULTS_FOR_REVIEW.zip,87599,e20962f677ad3f42e8bbedf4bf2cd83f4a1944c23c4e2a9af9917f17698f21cf,PASS,PASS_PRIOR_POSTERIOR_CONCORDANCE_AUDIT_COMPLETE,GWBHPIA_FIXED_RELEASE_PRIOR_POSTERIOR_CONCORDANCE_AUDIT_v0.15.0_STARTER_PACKAGE/outputs/RUN15_REPORT.json
RUN16,metadata-value audit and pilot closure,GWBHPIA_FIXED_RELEASE_METADATA_VALUE_AUDIT_v0.16.0_RUN16_RESULTS_FOR_REVIEW.zip,559180,1e0e3ff5bf51208747381e0a4439a749a335777b0b849f05840cedce24f244fc,PASS,PASS_METADATA_VALUE_AUDIT_COMPLETE,GWBHPIA_FIXED_RELEASE_METADATA_VALUE_AUDIT_v0.16.0_STARTER_PACKAGE/outputs/RUN16_REPORT.json
RUN17,model-dependence frozen holdout batch 1,GWBHPIA_FIXED_RELEASE_MODEL_DEPENDENCE_HOLDOUT_BATCH_1_v0.18.0_RUN17_RESULTS_FOR_REVIEW.zip,51094,f2f3c349f106eb84c193be674a2e491c8d665e1eecb2c595b57befb5d61150b8,PASS,PASS_MODEL_DEPENDENCE_HOLDOUT_BATCH_1_COMPLETE,GWBHPIA_FIXED_RELEASE_MODEL_DEPENDENCE_HOLDOUT_BATCH_1_v0.18.0_STARTER_PACKAGE/outputs/RUN17_REPORT.json
RUN18,model-dependence frozen holdout batch 2,GWBHPIA_FIXED_RELEASE_MODEL_DEPENDENCE_HOLDOUT_BATCH_2_v0.19.0_RUN18_RESULTS_FOR_REVIEW(2).zip,74622,ad4d5f54053029fe8ccf69d0b89e0d372a31c7dcfeeca05004d8910c530a6df9,PASS,PASS_MODEL_DEPENDENCE_HOLDOUT_BATCH_2_COMPLETE,GWBHPIA_FIXED_RELEASE_MODEL_DEPENDENCE_HOLDOUT_BATCH_2_v0.19.0_STARTER_PACKAGE/outputs/RUN18_REPORT.json
RUN19,model-dependence frozen holdout batch 3,GWBHPIA_FIXED_RELEASE_MODEL_DEPENDENCE_HOLDOUT_BATCH_3_v0.20.0_RUN19_RESULTS_FOR_REVIEW.zip,86021,037dc5fe9deb4fea4d2848c74b2f9674e426feccd0d33b6a574f610136b273e2,PASS,PASS_MODEL_DEPENDENCE_HOLDOUT_BATCH_3_COMPLETE,GWBHPIA_FIXED_RELEASE_MODEL_DEPENDENCE_HOLDOUT_BATCH_3_v0.20.0_STARTER_PACKAGE/outputs/RUN19_REPORT.json
RUN20,model-dependence frozen holdout batch 4,GWBHPIA_FIXED_RELEASE_MODEL_DEPENDENCE_HOLDOUT_BATCH_4_v0.21.0_RUN20_RESULTS_FOR_REVIEW.zip,97606,be37ef83e9a7b8aed3256e57f295d21855e4b43dec9845b3e7b9711f080b8c82,PASS,PASS_MODEL_DEPENDENCE_HOLDOUT_BATCH_4_COMPLETE,GWBHPIA_FIXED_RELEASE_MODEL_DEPENDENCE_HOLDOUT_BATCH_4_v0.21.0_STARTER_PACKAGE/outputs/RUN20_REPORT.json
RUN21,model-dependence confirmatory analysis,GWBHPIA_FIXED_RELEASE_MODEL_DEPENDENCE_CONFIRMATORY_ANALYSIS_v0.22.0_RUN21_RESULTS_FOR_REVIEW.zip,48616,ca66de60c661979fe3a9a596fc7c83031c4b460ee407b955209e4bd3f753f6ab,PASS,SUPPORTED_IN_FROZEN_HOLDOUT,GWBHPIA_FIXED_RELEASE_MODEL_DEPENDENCE_CONFIRMATORY_ANALYSIS_v0.22.0_STARTER_PACKAGE/outputs/RUN21_REPORT.json
RUN22,catalog screening map,GWBHPIA_CATALOG_MODEL_DEPENDENCE_SCREENING_MAP_v0.23.0_RUN22_RESULTS_FOR_REVIEW.zip,40514,cab28490da08b72b7ae004839bd2a9306ed6436218017c3aece5f960d3f8c76f,PASS,PASS_CATALOG_SCREENING_MAP_COMPLETE,GWBHPIA_CATALOG_MODEL_DEPENDENCE_SCREENING_MAP_v0.23.0_STARTER_PACKAGE/outputs/RUN22_REPORT.json
RUN23,screen rank 1 direct audit,GWBHPIA_TOP_PRIORITY_DIRECT_MODEL_DEPENDENCE_AUDIT_v0.24.0_RUN23_RESULTS_FOR_REVIEW.zip,35868,29858f1e6ba2d6aa9e8fa1e7e48e4b998998564b2d306db171d4f300b4584f65,PASS,PASS_TOP_PRIORITY_DIRECT_AUDIT_COMPLETE,GWBHPIA_TOP_PRIORITY_DIRECT_MODEL_DEPENDENCE_AUDIT_v0.24.0_STARTER_PACKAGE/outputs/RUN23_REPORT.json
RUN24,screen rank 3 direct audit,GWBHPIA_SECOND_PRIORITY_DIRECT_MODEL_DEPENDENCE_AUDIT_v0.25.0_RUN24_RESULTS_FOR_REVIEW.zip,39751,5c5b02167b7344b14b1d7af37b4758c0c49e34f64a880387433ac9b5753b502f,PASS,PASS_SECOND_PRIORITY_DIRECT_AUDIT_COMPLETE,GWBHPIA_SECOND_PRIORITY_DIRECT_MODEL_DEPENDENCE_AUDIT_v0.25.0_STARTER_PACKAGE/outputs/RUN24_REPORT.json
RUN25,screen rank 4 direct audit,GWBHPIA_THIRD_PRIORITY_DIRECT_MODEL_DEPENDENCE_AUDIT_v0.26.0_RUN25_RESULTS_FOR_REVIEW.zip,39731,197d1c3be5cf8cb4ee92e6d95c046ed52aea88dd88db62242a5539b4316e3b85,PASS,PASS_THIRD_PRIORITY_DIRECT_AUDIT_COMPLETE,GWBHPIA_THIRD_PRIORITY_DIRECT_MODEL_DEPENDENCE_AUDIT_v0.26.0_STARTER_PACKAGE/outputs/RUN25_REPORT.json
RUN26,screen rank 6 direct audit,GWBHPIA_FOURTH_PRIORITY_DIRECT_MODEL_DEPENDENCE_AUDIT_v0.27.0_RUN26_RESULTS_FOR_REVIEW.zip,39961,e288c2300e8ee4498a1af8045a43fc0eef7d07dac41b01689408e7d239c31516,PASS,PASS_FOURTH_PRIORITY_DIRECT_AUDIT_COMPLETE,GWBHPIA_FOURTH_PRIORITY_DIRECT_MODEL_DEPENDENCE_AUDIT_v0.27.0_STARTER_PACKAGE/outputs/RUN26_REPORT.json
RUN27,screen rank 7 direct audit,GWBHPIA_FIFTH_PRIORITY_DIRECT_MODEL_DEPENDENCE_AUDIT_v0.28.0_RUN27_RESULTS_FOR_REVIEW.zip,40116,52534251922b64d75c387e62031f9e8263d3ebf9e291cf416d06ba991ebc98be,PASS,PASS_FIFTH_PRIORITY_DIRECT_AUDIT_COMPLETE,GWBHPIA_FIFTH_PRIORITY_DIRECT_MODEL_DEPENDENCE_AUDIT_v0.28.0_STARTER_PACKAGE/outputs/RUN27_REPORT.json
RUN28,Tier A synthesis and Tier B boundary freeze,GWBHPIA_TIER_A_DIRECT_AUDIT_SYNTHESIS_AND_BRANCH_SELECTION_v0.29.0_RUN28_RESULTS_FOR_REVIEW.zip,20278,d75dbb843406cfa5caa4d3b164997f3bf2660707d3b089bd015a45319bf5eb86,PASS,PASS_TIER_A_COMPLETE_PROCEED_LIMITED_TIER_B_BOUNDARY_AUDIT,GWBHPIA_TIER_A_DIRECT_AUDIT_SYNTHESIS_AND_BRANCH_SELECTION_v0.29.0/outputs/RUN28_REPORT.json
RUN29,Tier B upper-boundary direct audit,GWBHPIA_TIER_B_UPPER_BOUNDARY_DIRECT_MODEL_DEPENDENCE_AUDIT_v0.30.0_RUN29_RESULTS_FOR_REVIEW.zip,34350,1ff4c5bd7a05cc697712a8e184a86e7bd6b0d88b78813332f3984b94eca895d7,PASS,PASS_TIER_B_UPPER_BOUNDARY_DIRECT_AUDIT_COMPLETE,GWBHPIA_TIER_B_UPPER_BOUNDARY_DIRECT_MODEL_DEPENDENCE_AUDIT_v0.30.0_STARTER_PACKAGE/outputs/RUN29_REPORT.json
RUN30,Tier B lower-boundary direct audit,GWBHPIA_TIER_B_LOWER_BOUNDARY_DIRECT_MODEL_DEPENDENCE_AUDIT_v0.31.0_RUN30_RESULTS_FOR_REVIEW.zip,39861,d40951c130f06e26783f3adde52b4cfadb3907fce7ace3403a20c8c8519a014e,PASS,PASS_TIER_B_LOWER_BOUNDARY_DIRECT_AUDIT_COMPLETE,GWBHPIA_TIER_B_LOWER_BOUNDARY_DIRECT_MODEL_DEPENDENCE_AUDIT_v0.31.0_STARTER_PACKAGE/outputs/RUN30_REPORT.json
RUN31,first-branch scientific closure,GWBHPIA_FIRST_BRANCH_SCIENTIFIC_CLOSURE_v0.32.0_RUN31_RESULTS_FOR_REVIEW.zip,23636,2b5c791b214df4d86a0773e72393619d8be65adbca3c357db92ecf8fa91d598e,PASS,PASS_GWBHPIA_FIRST_BRANCH_SCIENTIFIC_CLOSURE,GWBHPIA_FIRST_BRANCH_SCIENTIFIC_CLOSURE_v0.32.0/02_RESULTS/RUN31_REPORT.json
